21,3760.61,583.70
22,4073.67,430.14
23,4397.01,281.35
24,4722.41,145.08
26,²ã
2538.52,2538.45
2001.22,2252.07
2,32.20,4818.08
3,86.52,4559.35
4,157.53,4324.13
5,241.78,4095.36
6,345.81,3860.29
7,470.55,3621.70
8,611.15,3388.07
9,765.43,3159.26
10,934.06,2931.91
11,1117.63,2704.21
12,1313.75,2479.64
13,1520.77,2260.66
14,1737.51,2046.21
15,1965.24,1834.89
16,2203.72,1628.28
17,2451.78,1427.43
18,2706.42,1236.18
19,2969.76,1053.44
20,3243.56,874.92
21,3526.99,705.67
22,3816.26,555.10
23,4105.13,420.82
24,4407.78,280.88
25,4738.70,140.30
27,²ã
2529.24,2528.95
2149.40,2108.89
2,31.09,4794.27
3,84.56,4588.29
4,147.96,4365.12
5,225.64,4124.11
6,327.22,3899.16
7,443.08,3678.73
8,571.09,3452.16
9,716.19,3227.50
10,876.34,3010.44
11,1046.32,2793.43
12,1228.12,2576.55
13,1423.19,2364.39
14,1627.56,2157.29
15,1839.68,1952.22
16,2063.42,1749.22
17,2297.06,1556.01
18,2536.67,1367.72
19,2783.98,1180.72
20,3043.03,1005.75
21,3309.07,844.05
22,3577.17,682.30
23,3856.00,528.03
24,4152.57,405.32
25,4441.56,283.38
26,4719.33,139.42
28,²ã
2505.53,2506.13
2014.36,2251.08
2,30.31,4844.51
3,82.06,4609.05
4,136.50,4373.91
5,213.57,4170.59
6,309.61,3946.73
7,412.76,3724.47
8,536.16,3515.51
9,673.34,3297.98
10,819.39,3083.89
11,981.13,2877.28
12,1153.67,2666.81
13,1334.02,2460.06
14,1526.95,2260.29
15,1729.26,2059.43
16,1937.63,1862.42
17,2157.49,1675.05
18,2385.58,1486.16
19,2617.70,1304.17
20,2861.25,1134.95
21,3113.24,963.28
22,3364.14,803.34
23,3632.25,663.12
24,3907.25,511.42
25,4169.85,381.79
26,4466.32,284.92
27,4770.49,140.93
29,²ã
2542.40,2542.33
2151.82,2113.95
2,29.78,4831.25
3,78.72,4615.63
4,127.04,4420.33
5,205.53,4188.36
6,289.32,3990.13
7,389.03,3777.12
8,506.91,3565.09
9,630.38,3364.72
10,772.37,3153.24
11,922.85,2952.36
12,1082.88,2751.68
13,1256.94,2548.85
14,1435.33,2356.79
15,1626.01,2160.29
16,1825.81,1969.54
17,2029.56,1786.12
18,2246.34,1599.16
19,2466.87,1425.38
20,2694.11,1252.26
21,2934.45,1082.60
22,3171.99,932.00
23,3424.02,771.40
24,3682.35,634.51
25,3933.14,505.51
26,4219.62,361.84
27,4477.26,281.80
28,4759.77,143.62
30,²ã
2522.07,2520.69
2026.56,2246.63
2,29.42,4850.20
3,74.21,4645.42
4,120.81,4422.61
5,196.70,4238.31
6,270.21,4015.59
7,371.09,3827.55
8,474.70,3616.81
9,596.22,3419.94
10,727.74,3223.17
11,868.18,3021.27
12,1023.38,2831.73
13,1181.90,2632.65
14,1356.21,2446.69
15,1533.08,2254.72
16,1721.27,2070.85
17,1918.10,1889.45
18,2117.43,1707.28
19,2331.36,1539.51
20,2543.59,1361.98
21,2770.71,1204.95
22,2998.37,1042.47
23,3233.55,890.33
24,3481.24,752.92
25,3717.81,602.59
26,3988.84,497.47
27,4228.92,349.84
28,4511.26,272.85
29,4781.35,147.12
31,²ã
2544.53,2544.39
2156.41,2120.71
2,29.10,4852.68
3,69.16,4651.42
4,117.29,4460.06
5,185.22,4249.62
6,257.05,4066.34
7,351.57,3856.19
8,447.49,3674.55
9,566.17,3468.08
10,684.65,3286.75
11,823.85,3086.54
12,963.09,2904.59
13,1120.29,2711.29
14,1278.46,2530.21
15,1450.85,2344.20
16,1626.76,2164.89
17,1812.46,1987.81
18,2005.26,1810.80
19,2201.84,1644.43
20,2410.66,1471.38
21,2617.64,1317.35
22,2841.70,1150.22
23,3057.18,1011.20
24,3296.68,852.56
25,3520.85,731.05
26,3774.41,583.01
27,4008.36,479.51
28,4271.87,347.61
29,4521.27,259.51
30,4786.00,150.91
32,²ã
2526.22,2526.53
2040.46,2244.70
2,28.80,4877.16
3,63.69,4664.32
4,115.10,4482.53
5,171.98,4281.46
6,248.49,4097.33
7,328.77,3902.47
8,428.28,3716.56
9,531.47,3526.46
10,651.60,3341.39
11,775.94,3154.89
12,914.27,2971.86
13,1056.87,2789.05
14,1212.12,2609.49
15,1371.29,2430.63
16,1541.56,2254.59
17,1715.50,2081.30
18,1898.71,1910.10
19,2087.07,1743.43
20,2282.29,1578.82
21,2483.71,1420.15
22,2690.04,1263.42
23,2903.21,1114.97
24,3120.74,967.64
25,3346.24,833.00
26,3573.05,696.89
27,3810.93,577.01
28,4045.61,454.65
29,4297.02,350.95
30,4538.52,243.31
31,4809.98,154.81
33,²ã
2547.62,2547.42
2160.95,2127.16
2,28.58,4854.24
3,58.71,4702.22
4,113.19,4477.67
5,160.62,4324.45
6,240.00,4111.15
7,309.54,3950.99
8,409.04,3747.95
9,502.49,3582.15
10,619.38,3388.16
11,734.72,3218.67
12,867.76,3031.46
13,1002.17,2861.29
14,1149.52,2681.45
15,1301.11,2511.07
16,1461.18,2338.73
17,1628.82,2168.99
18,1799.95,2004.99
19,1981.99,1836.83
20,2163.51,1681.86
21,2359.47,1517.50
22,2550.08,1374.03
23,2760.23,1212.33
24,2959.01,1082.88
25,3183.44,927.20
26,3387.08,814.82
27,3627.16,664.59
28,3834.45,572.49
29,4091.99,430.08
30,4300.59,355.18
31,4577.50,226.08
32,4791.43,158.74
34,²ã
2521.47,2519.63
2051.43,2244.82
2,28.34,4909.81
3,54.67,4665.61
4,110.75,4534.84
5,152.57,4319.61
6,228.79,4162.45
7,296.94,3973.06
8,385.98,3796.20
9,482.13,3626.24
10,583.46,3438.56
11,703.39,3277.54
12,818.76,3089.93
13,956.78,2931.62
14,1087.64,2748.61
15,1239.48,2588.36
16,1386.87,2416.64
17,1547.55,2252.58
18,1712.69,2092.94
19,1881.32,1925.24
20,2063.04,1778.22
21,2237.69,1611.29
22,2434.46,1474.51
23,2617.44,1312.75
24,2825.51,1182.07
25,3018.57,1036.37
26,3233.42,905.33
27,3443.73,783.81
28,3658.39,646.71
29,3890.47,559.76
30,4095.84,412.99
31,4358.94,357.58
32,4548.72,211.47
33,4847.26,162.70
35,²ã
2551.11,2548.76
2167.57,2135.67
2,28.12,4841.30
3,51.54,4725.92
4,107.34,4525.35
5,147.87,4352.92
6,215.05,4194.34
7,288.50,3994.89
8,362.53,3848.36
9,463.68,3655.16
10,553.57,3496.79
11,668.95,3324.48
